"species_id","group_id","behavior","domains","behavior_id","Ordr","Class"
"Apis_mellifera",700104,"E1 honey bee colonies waggle dance","foraging",119,"Hymenoptera","Insecta"
"Ateles_geoffroyi",700084,"Santa Rosa spider monkeys contact greeting","social",89,"Primates","Mammalia"
"Balaenoptera_physalus",700049,"Mediterranean fin whale subpopulation song","mating",56,"Cetacea","Mammalia"
"Balaenoptera_physalus",700059,"Northeastern North Atlantic fin whale subpopulation song","mating",66,"Cetacea","Mammalia"
"Balaenoptera_physalus",700049,"Mediterranean fin whale subpopulation song","vocal communication",56,"Cetacea","Mammalia"
"Balaenoptera_physalus",700059,"Northeastern North Atlantic fin whale subpopulation song","vocal communication",66,"Cetacea","Mammalia"
"Berardius_bairdii",700078,"Resident Commander Islands beaked whales shallow habitat foraging","foraging",84,"Cetacea","Mammalia"
"Cacicus_cela_vitellinus",700022,"Farfan cacique colony vocal dialect","vocal communication",26,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700094,"Tank Farm cacique colony vocal dialect","vocal communication",106,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700022,"Farfan cacique colony vocal dialect","mating",26,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700033,"Howard dialect caciques vocal dialect","vocal communication",39,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700094,"Tank Farm cacique colony vocal dialect","mating",106,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700033,"Howard dialect caciques vocal dialect","mating",39,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700079,"Rodman cacique colony vocal dialect","mating",85,"Passeriformes","Aves"
"Cacicus_cela_vitellinus",700079,"Rodman cacique colony vocal dialect","vocal communication",85,"Passeriformes","Aves"
"Campylorhynchus_nuchalis",700030,"Hato Masaguaral wrens WAY calling","vocal communication",36,"Passeriformes","Aves"
"Campylorhynchus_nuchalis",700030,"Hato Masaguaral wrens WAY calling","social",36,"Passeriformes","Aves"
"Cebus_capucinus",700046,"Lomas Barbudal capuchins handsniffing","social",114,"Primates","Mammalia"
"Cebus_capucinus",700046,"Lomas Barbudal capuchins toy game","play",115,"Primates","Mammalia"
"Cebus_capucinus",700046,"Lomas Barbudal capuchins handsniffing","other",114,"Primates","Mammalia"
"Cebus_capucinus",700046,"Lomas Barbudal Luehea foraging","foraging",116,"Primates","Mammalia"
"Cervus_canadensis",700071,"Pennsylvania elk group bugle calls","mating",77,"Artiodactyla","Mammalia"
"Cervus_canadensis",700009,"Colorado elk group bugle calls","mating",13,"Artiodactyla","Mammalia"
"Cervus_canadensis",700101,"Wyoming elk group bugle calls","vocal communication",113,"Artiodactyla","Mammalia"
"Cervus_canadensis",700071,"Pennsylvania elk group bugle calls","vocal communication",77,"Artiodactyla","Mammalia"
"Cervus_canadensis",700009,"Colorado elk group bugle calls","vocal communication",13,"Artiodactyla","Mammalia"
"Cervus_canadensis",700101,"Wyoming elk group bugle calls","mating",113,"Artiodactyla","Mammalia"
"Chersophilus_duponti",700017,"Ebro Valley Dupont's Lark territorial call","mating",21,"Passeriformes","Aves"
"Chersophilus_duponti",700017,"Ebro Valley Dupont's Lark territorial call","vocal communication",21,"Passeriformes","Aves"
"Chlamydera_maculata",700095,"Taunton bowerbirds bower design","mating",107,"Passeriformes","Aves"
"Chlamydera_maculata",700095,"Taunton bowerbirds bower design","architecture",107,"Passeriformes","Aves"
"Cinnyris_osea",700019,"En Gedi sunbirds song dialect","vocal communication",23,"Passeriformes","Aves"
"Cinnyris_osea",700076,"Ramat-Aviv low dialect sunbirds song dialect","mating",82,"Passeriformes","Aves"
"Cinnyris_osea",700075,"Ramat-Aviv high dialect sunbirds song dialect","vocal communication",81,"Passeriformes","Aves"
"Cinnyris_osea",700019,"En Gedi sunbirds song dialect","mating",23,"Passeriformes","Aves"
"Cinnyris_osea",700075,"Ramat-Aviv high dialect sunbirds song dialect","mating",81,"Passeriformes","Aves"
