species_id,group_id,group_name,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long,points,labels
Ateles_geoffroyi,700084,Santa Rosa spider monkeys,NA,,27,"""The Santa Rosa community consisted of 27–30 individuals"" (Santorelli et al. 2011)",2007,santorelli2011,"Santa Rosa National Park, Area de Conservacion Guanacaste, Costa Rica",santorelli2011,10.839,-85.618,Ateles geoffroyi,Santa Rosa spider monkeys
Balaenoptera_physalus,700059,Northeastern North Atlantic fin whale subpopulation,NA,,NA,,NA,,Alboran basin,castellote2011,36.062,-3.8,,
Balaenoptera_physalus,700049,Mediterranean fin whale subpopulation,NA,,NA,,NA,,northwest Mediterranean basin,castellote2011,43.742,8.206,Balaenoptera physalus,Mediterranean fin whale subpopulation
Berardius_bairdii,700078,Resident Commander Islands beaked whales,NA,,NA,,NA,,"southwest coast of Bering Island, Commander Islands, ""about 175 km (109 mi) east of the Kamchatka Peninsula. Geologically they comprise the westernmost part of the Aleutian Islands""",filatova2024,54.781,166.424,Berardius bairdii,Resident Commander Islands beaked whales
Cacicus_cela_vitellinus,700094,Tank Farm cacique colony,NA,,NA,,NA,,"Tank Farm, Panama",trainer1989,8.956,-79.616,,
Cacicus_cela_vitellinus,700079,Rodman cacique colony,NA,,NA,,NA,,"Rodman, Panama",trainer1989,8.947,-79.583,Icteridae,Rodman cacique colony
Cacicus_cela_vitellinus,700022,Farfan cacique colony,NA,,NA,,NA,,"Farfan, Panama",trainer1989,8.932,-79.58,,
Cacicus_cela_vitellinus,700033,Howard dialect caciques,NA,,NA,,NA,,"Vera Cruz, Panama",trainer1989,8.888,-79.642,,
Campylorhynchus_nuchalis,700030,Hato Masaguaral wrens,NA,,NA,"groups are made of a breeding pair and up to 12 non-breeding alloparents, usually offspring from previous years who have not dispersed. authors recorded calls from 46 breeding males, 22 male helpers, and 14 females from 30 groups (Price 1998)",NA,,"Hato Masaguaral cattle ranch, 300 km south of Caracas, Venezuela",price1998,10.481,-66.904,Campylorhynchus,Hato Masaguaral wrens
Cebus_capucinus,700069,Palo Verde capuchins,NA,,19,about 19 individuals,NA,,Palo Verde National Park ,panger2002,10.333,-85.333,,
